EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
2989642,제73주년 춘천지구 전투 전승행사,20230624,20230625,127.7002194,32.87272673,강원도 춘천시 삼천동,A02081300,153
2989589,충주 다이브 페스티벌,20230615,20230618,127.8627259,37.02153613,충청북도 충주시 중앙탑길 150 탄금호조정경기장,A02081300,169
2989580,"장수 쿨밸리(cool valley,시원한 계곡)페스티벌",20230728,20230806,127.529295,35.58964922,전라북도 장수군 방화동로 778,A02081300,239
2989543,한우&농특산물 페스티벌,20230531,20230604,127.3802705,36.37599317,"대전광역시 유성구 대덕대로 480 대전 C.T센터, 스튜디오큐브",A02070200,73
2989468,계양산성 소서팔사(消暑八事) : 계양골 바캉스,20230603,20230603,126.7270445,37.54807135,인천광역시 계양구 계양산로 101,A02070200,61
2989467,2023 부산권 산업안전 사생대회,20230617,20230617,129.0572361,35.16544951,부산광역시 부산진구 시민공원로 73 부산시민공원,A02081300,94
2989352,Re:023 대전 엑스포93,20230612,20230827,127.3802705,36.37599317,"대전광역시 유성구 도룡동 3-1 대전 C.T센터, 스튜디오큐브",A02070200,73
2989174,2023 김포공항 문화의 날 26데이,20230526,20231226,126.8029148,37.56525403,서울특별시 강서구 하늘길 38,A02081300,38
2988795,돈의Moon나이트,20230527,20230527,126.9685385,37.5688788,서울특별시 종로구 송월길 14-3 국도빌딩,A02081300,57
2988632,2023부산국제주류&와인박람회,20231201,20231203,129.1355209,35.16874503,부산광역시 해운대구 APEC로 55 벡스코,A02080600,103
2988569,사계축제 꽃 기억해 (봄),20230519,20230528,127.047189,37.68957451,서울특별시 도봉구 마들로 916 방문자센터,A02070200,44
2988540,2023 천안시 대학 어울림 페스티벌,20230525,20230525,127.1114687,36.81949304,충청남도 천안시 서북구 번영로 208 종합운동장,A02081300,181
2988538,양재천천마켙,20230513,20230701,127.0408151,37.47735183,서울특별시 서초구 양재천로 144,A02081300,49
2988364,무등산 인문축제,20230610,20230611,126.9602987,35.13323547,광주광역시 동구 증심사길 71 비지터 센터,A02070200,85
2988303,영천한약축제,20230519,20230521,128.923303,35.97846935,경상북도 영천시 천문로 485 동의참누리원영천한의마을,A02070200,200
2988268,국립과천과학관 2023 성인과학아카데미,20230523,20230720,127.0047139,37.44086653,경기도 과천시 상하벌로 110 국립과천과학관,A02081300,112
2988140,2023 아시아컬처마켓 도시 속 문화장터 <도담: 도시를 담다>,20230519,20230520,126.9192936,35.1460861,광주광역시 동구 문화전당로 38 아시아문화전당,A02081300,85
2988080,제2회 K-FOOD천안들깨페스티벌,20231014,20231014,127.1600152,36.8880499,충청남도 천안시 서북구 직산읍 삼은리,A02081300,181
2987912,완주 대둔산 축제,20230603,20230604,127.3316652,36.11610256,전라북도 완주군 운주면 산북리,A02070200,236
2987791,DMZ OPEN 페스티벌,20230520,20231111,126.7447609,37.89206769,경기도 파주시 임진각로 148-40 평화누리,A02070200,136
2987741,돈의문골목시장,20230505,20230624,126.9685385,37.5688788,서울특별시 종로구 송월길 14-3 국도빌딩,A02081300,57
2987642,하나증권 테니스 페스티벌 in Olympic park,20230520,20230521,127.1150682,37.52060926,서울특별시 송파구 올림픽로 424 올림픽공원,A02081300,52
2987570,하남 미사경정공원 바비큐비어페스티벌,20230526,20230603,127.2054866,37.56143393,경기도 하남시 미사대로 505 미사리경정장·조정카누경기장,A02070200,139
2987531,한강 서래섬 유채꽃 축제,20230512,20230521,126.9899661,37.50801403,서울특별시 서초구 반포동,A02070200,49
2987522,좀비런 부산,20230805,20230805,129.1270688,35.17100296,부산광역시 해운대구 수영강변대로 120 영화의전당,A02070200,103
2987489,2023 고흥 녹동항 드론쇼,20230501,20231130,127.1353428,34.52579837,전라남도 고흥군 비봉로 174,A02081300,244
2987482,부평향교 효를 나누는 응다방,20230520,20230520,126.7207175,37.53954723,인천광역시 계양구 향교로 19 부평향교(지정문화재),A02070200,61
2987443,2023 부산 고 페스티벌 (2023 Busan Go Festival),20230520,20230521,129.0507264,35.13683871,부산광역시 동구 좌천동,A02081300,92
2987404,홍성남당항 바다송어 축제,20230422,20230521,126.4702202,36.53960296,충청남도 홍성군 남당항로213번길 1,A02070200,184
2987351,2023 목포노을 드론라이트쇼,20230506,20230507,126.3659091,34.80883716,전라남도 목포시 산정동,A02081300,250
2987262,2023년 공주산성시장 밤마실 야시장,20230505,20230923,127.1229164,36.45674604,충청남도 공주시 산성동,A02081300,171
2987163,국립과천과학관 어린이날 행사,20230505,20230507,127.0047139,37.44086653,경기도 과천시 상하벌로 110 국립과천과학관,A02081300,112
2987130,베니스랜드 유럽수국축제(야간개장),20230601,20230731,126.8399365,33.41656406,제주특별자치도 서귀포시 서성일로 474,A02070200,267
2987120,2024 강원 동계청소년올림픽대회,20240119,20240201,127.7297212,37.88418106,강원도 춘천시 중앙로 5,A02081300,153
2987112,세종파크뮤직페스티벌,20230603,20230604,127.2881255,36.59849103,세종특별자치시  문예회관길 22 세종문화예술회관,A02070200,109
2987072,2023년 독립기념관 어린이날 기념행사,20230505,20230505,127.2326089,36.77739726,충청남도 천안시 동남구 독립기념관로 1 독립기념관,A02081300,181
2987020,2023년 청소년의 달 기념행사 ‘오월의 난장PANN’,20230520,20230520,126.8879188,37.44621938,경기도 광명시 소하일로 9 광명시 청소년수련관,A02081300,113
2986930,울산공업축제,20230601,20230604,129.3076647,35.55047486,울산광역시 남구 신정동,A02070200,105
2986679,가족의 달 어린이 축제,20230506,20230507,126.5777264,37.48912279,인천광역시 중구 구읍로 63 영종역사관,A02070200,69
