CODE,CODE_CATEGORY,CODE_NM,PARENT_CODE 
1,AREA,서울,
2,AREA,인천,
3,AREA,대전,
4,AREA,대구,
5,AREA,광주,
6,AREA,부산,
7,AREA,울산,
8,AREA,세종,
31,AREA,경기,
32,AREA,강원,
33,AREA,충북,
34,AREA,충남,
35,AREA,경북,
36,AREA,경남,
37,AREA,전북,
38,AREA,전남,
39,AREA,제주,
12,FACILITY,관광지,
14,FACILITY,문화시설,
25,FACILITY,여행코스,
28,FACILITY,레포츠,
32,FACILITY,숙박,
38,FACILITY,쇼핑,
39,FACILITY,음식점,
1,DAY,월,
2,DAY,화,
3,DAY,수,
4,DAY,목,
5,DAY,금,
6,DAY,토,
7,DAY,일,
1,TOURIST,현지인,
2,TOURIST,외지인,
3,TOURIST,외국인,
1,CITY,강남구,1
2,CITY,강동구,1
3,CITY,강북구,1
4,CITY,강서구,1
5,CITY,관악구,1
6,CITY,광진구,1
7,CITY,구로구,1
8,CITY,금천구,1
9,CITY,노원구,1
10,CITY,도봉구,1
11,CITY,동대문구,1
12,CITY,동작구,1
13,CITY,마포구,1
14,CITY,서대문구,1
15,CITY,서초구,1
16,CITY,성동구,1
17,CITY,성북구,1
18,CITY,송파구,1
19,CITY,양천구,1
20,CITY,영등포구,1
21,CITY,용산구,1
22,CITY,은평구,1
23,CITY,종로구,1
24,CITY,중구,1
25,CITY,중랑구,1
1,CITY,강화군,2
2,CITY,계양구,2
3,CITY,미추홀구,2
4,CITY,남동구,2
5,CITY,동구,2
6,CITY,부평구,2
7,CITY,서구,2
8,CITY,연수구,2
9,CITY,옹진군,2
10,CITY,중구,2
1,CITY,대덕구,3
2,CITY,동구,3
3,CITY,서구,3
4,CITY,유성구,3
5,CITY,중구,3
1,CITY,남구,4
2,CITY,달서구,4
3,CITY,달성군,4
4,CITY,동구,4
5,CITY,북구,4
6,CITY,서구,4
7,CITY,수성구,4
8,CITY,중구,4
1,CITY,광산구,5
2,CITY,남구,5
3,CITY,동구,5
4,CITY,북구,5
5,CITY,서구,5
1,CITY,강서구,6
2,CITY,금정구,6
3,CITY,기장군,6
4,CITY,남구,6
5,CITY,동구,6
6,CITY,동래구,6
7,CITY,부산진구,6
8,CITY,북구,6
9,CITY,사상구,6
10,CITY,사하구,6
11,CITY,서구,6
12,CITY,수영구,6
13,CITY,연제구,6
14,CITY,영도구,6
15,CITY,중구,6
16,CITY,해운대구,6
1,CITY,중구,7
2,CITY,남구,7
3,CITY,동구,7
4,CITY,북구,7
5,CITY,울주군,7
1,CITY,세종특별자치시,8
1,CITY,가평군,31
2,CITY,고양시,31
3,CITY,과천시,31
4,CITY,광명시,31
5,CITY,광주시,31
6,CITY,구리시,31
7,CITY,군포시,31
8,CITY,김포시,31
9,CITY,남양주시,31
10,CITY,동두천시,31
11,CITY,부천시,31
12,CITY,성남시,31
13,CITY,수원시,31
14,CITY,시흥시,31
15,CITY,안산시,31
16,CITY,안성시,31
17,CITY,안양시,31
18,CITY,양주시,31
19,CITY,양평군,31
20,CITY,여주시,31
21,CITY,연천군,31
22,CITY,오산시,31
23,CITY,용인시,31
24,CITY,의왕시,31
25,CITY,의정부시,31
26,CITY,이천시,31
27,CITY,파주시,31
28,CITY,평택시,31
29,CITY,포천시,31
30,CITY,하남시,31
31,CITY,화성시,31
1,CITY,강릉시,32
2,CITY,고성군,32
3,CITY,동해시,32
4,CITY,삼척시,32
5,CITY,속초시,32
6,CITY,양구군,32
7,CITY,양양군,32
8,CITY,영월군,32
9,CITY,원주시,32
10,CITY,인제군,32
11,CITY,정선군,32
12,CITY,철원군,32
13,CITY,춘천시,32
14,CITY,태백시,32
15,CITY,평창군,32
16,CITY,홍천군,32
17,CITY,화천군,32
18,CITY,횡성군,32
1,CITY,괴산군,33
2,CITY,단양군,33
3,CITY,보은군,33
4,CITY,영동군,33
5,CITY,옥천군,33
6,CITY,음성군,33
7,CITY,제천시,33
8,CITY,진천군,33
9,CITY,청원군,33
10,CITY,청주시,33
11,CITY,충주시,33
12,CITY,증평군,33
1,CITY,공주시,34
2,CITY,금산군,34
3,CITY,논산시,34
4,CITY,당진시,34
5,CITY,보령시,34
6,CITY,부여군,34
7,CITY,서산시,34
8,CITY,서천군,34
9,CITY,아산시,34
11,CITY,예산군,34
12,CITY,천안시,34
13,CITY,청양군,34
14,CITY,태안군,34
15,CITY,홍성군,34
16,CITY,계룡시,34
1,CITY,경산시,35
2,CITY,경주시,35
3,CITY,고령군,35
4,CITY,구미시,35
5,CITY,군위군,35
6,CITY,김천시,35
7,CITY,문경시,35
8,CITY,봉화군,35
9,CITY,상주시,35
10,CITY,성주군,35
11,CITY,안동시,35
12,CITY,영덕군,35
13,CITY,영양군,35
14,CITY,영주시,35
15,CITY,영천시,35
16,CITY,예천군,35
17,CITY,울릉군,35
18,CITY,울진군,35
19,CITY,의성군,35
20,CITY,청도군,35
21,CITY,청송군,35
22,CITY,칠곡군,35
23,CITY,포항시,35
1,CITY,거제시,36
2,CITY,거창군,36
3,CITY,고성군,36
4,CITY,김해시,36
5,CITY,남해군,36
6,CITY,마산시,36
7,CITY,밀양시,36
8,CITY,사천시,36
9,CITY,산청군,36
10,CITY,양산시,36
12,CITY,의령군,36
13,CITY,진주시,36
14,CITY,진해시,36
15,CITY,창녕군,36
16,CITY,창원시,36
17,CITY,통영시,36
18,CITY,하동군,36
19,CITY,함안군,36
20,CITY,함양군,36
21,CITY,합천군,36
1,CITY,고창군,37
2,CITY,군산시,37
3,CITY,김제시,37
4,CITY,남원시,37
5,CITY,무주군,37
6,CITY,부안군,37
7,CITY,순창군,37
8,CITY,완주군,37
9,CITY,익산시,37
10,CITY,임실군,37
11,CITY,장수군,37
12,CITY,전주시,37
13,CITY,정읍시,37
14,CITY,진안군,37
1,CITY,강진군,38
2,CITY,고흥군,38
3,CITY,곡성군,38
4,CITY,광양시,38
5,CITY,구례군,38
6,CITY,나주시,38
7,CITY,담양군,38
8,CITY,목포시,38
9,CITY,무안군,38
10,CITY,보성군,38
11,CITY,순천시,38
12,CITY,신안군,38
13,CITY,여수시,38
16,CITY,영광군,38
17,CITY,영암군,38
18,CITY,완도군,38
19,CITY,장성군,38
20,CITY,장흥군,38
21,CITY,진도군,38
22,CITY,함평군,38
23,CITY,해남군,38
24,CITY,화순군,38
1,CITY,남제주군,39
2,CITY,북제주군,39
3,CITY,서귀포시,39
4,CITY,제주시,39
